Parameter List,Units,PUB Drinking Water Standard Average,PUB Drinking Water Standard Range,US EPA Standards (updated May 2009),WHO Drinking-water Guidelines 2022 (4th Edition with 1st and 2nd addenda),Environmental Public Health (Water Suitable for Drinking) (No.2) Regulations 2019,"EU Directive (2020/2184) 
16 Dec 2020"
2-MIB,ng/L,,,,,,
Colour,Hazen,<5,<5,15 Colour Units (Sec MCL),,15,acceptable to customer
Conductivity,uS/cm,225,81-587,,,1000 (at 25?C) (COP),2500
Conductivity-in-situ,uS/cm,,,,,,
Geosmin,ng/L,,,,,,
Langelier Saturation Index (LSI),Units,,,,,,
Oil and Grease,mg/L,,,,,,
pH,Units,8,7.5 - 8.7,6.5-8.5 (Sec MCL),,6.5-9.5,6.5-9.5
pH-in-situ,Units,,,,,,
TDS/Conductivity Ratio,-,,,,,,
Threshold Odour Test,TON,Unobjectionable,Unobjectionable,3 (Sec MCL),,3 (COP),acceptable to customer
Total Dissolved Solids (TDS),mg/L,109,64 - 480,500 (Sec MCL),Not of health concern at levels found in drinking-water,600 (COP),
Total Solids,mg/L,,,,,,
Total Suspended Solids,mg/L,,,,,,
Turbidity,NTU,0.15,0.06 - 0.45,max 5,,"max 5 (COP)
max 5 (consumers' tap) 
max 1 (WW's outlet)
max 0.3 (after filters)",acceptable to customer and no abnormal change
Turbidity-in-situ,NTU,,,,,,
UV 254 Absorbance,cm-1,,,,,,
Bromate,mg/L,0.002,< 0.002 - 0.005,0.01,0.01,0.01,0.01
Chlorate,mg/L,0.14,< 0.043- 0.424,,0.7,0.7,0.25
Chlorine (Free),mg/L,,,,,,
Chlorine (Free)-in-situ,mg/L,,,,,,
Chlorite,mg/L,< 0.015,< 0.015,1,0.7,0.7,0.25
Cyanogen chloride,ug/L,< 50,< 50,,600 (Health-based),70,
Iodide,mg/L,,,,,,
Monochloramine,mg/L,2.08,1.29 - 2.77,4,3,3,
Monochloramine-in-situ,mg/L,,,,,,
Total Residual Chlorine,mg/L,2.28,1.28 - 2.88,4,5,5,
Total Residual Chlorine-in-situ,mg/L,,,,,,
Aluminium,mg/L,0.002,< 0.019 - 0.083,0.05-0.2 (Sec MCL),0.9 (Health-based),"(COP)
0.1 (all WWs except PTWW), 
0.2 (PTWW)",0.2
Ammonia (as N),mg/L,,,,"Occurs in drinking-water at concentrations well below those of
health concern",,
Antimony,ug/L,< 0.003,<1,6,20,20,10
Arsenic,ug/L,0.12,< 0.50 - 0.61,10,10,10,10
Asbestos,MF/L,,,7,"No consistent evidence that ingested asbestos is hazardous to
health and available data inadequate to permit derivation of
health-based guideline value",,
Barium,mg/L,0.016,< 0.004 - 0.038,2,1.3,1.3,
Beryllium,ug/L,,,4,12 (Health-based),,
Bicarbonate (as HCO3),mg/L,,,,,,
Boron,mg/L,0.297,0.007 - 0.538,,2.4,2.4,1.5
Bromide,mg/L,,,,"Occurs in drinking-water at concentrations well below those of
health concern",,
Cadmium,ug/L,< 0.2,< 0.2,5,3,3,5
Calcium,mg/L,16.7,8.8 - 77.7,,,,
Chloride,mg/L,28,< 5 - 154,250 (Sec MCL),Not of health concern at levels found in drinking-water,250 (COP),250
Chromium ,mg/L,< 0.005,< 0.005,0.1,0.05,0.05,0.025
Cobalt,mg/L,,,,,,
Copper,mg/L,0.002,< 0.002 - 0.003,"1.3 (action level, see Note 2)
1.0 (Sec MCL)",2,2,2
Cyanide,mg/L,< 0.002,< 0.002,0.2,0.07 (Health-based),0.07,0.05
Dissolved phosphorous (as P),mg/L,,,,,,
Fluoride,mg/L,0.45,0.20 - 0.56,"4
2 (Sec MCL)",1.5,0.7,1.5
Hexavalent Chromium (as Cr),ug/L,,,,,,
Iron,mg/L,0.004,< 0.003 - 0.034,0.3 (Sec MCL),"Not of health concern at levels causing acceptability problems in
drinking-water",0.3 (COP),0.2
Lead,ug/L,0.5,< 0.5 - 1.2,"15 (action level, see Note 2)",10,10,5
Magnesium,mg/L,0.275,< 0.027 - 2.500,,,,
Manganese,mg/L,0.002,< 0.002 - 0.019,0.05 (Sec MCL),0.08,,0.05
Mercury,ug/L,< 0.03,< 0.03,2,6,6,1
Molybdenum,mg/L,< 0.004,< 0.004,,0.07 (Health-based),0.07,
Nickel,mg/L,< 0.003,< 0.003,,0.07,0.07,0.02
Nitrate (as N),mg/L,0.12,< 0.01 - 0.88,10,11,11,11
Nitrite (as N),mg/L,0.01,< 0.01 - 0.03,1,0.9,0.9,0.15
Perchlorate,ug/L,< 2,< 2,,70,70,
Potassium,mg/L,,,,"Occurs in drinking-water at concentrations well below those of
health concern",,
Selenium,ug/L,< 0.5,< 0.5,50,40,40,20
Silica (as SiO2),mg/L,1.18,0.17 - 6.92,,,,
Silver,ug/L,,,100 (Sec MCL),"Available data inadequate to permit derivation of healthbased
guideline value and usually occurs in drinking water at
concentrations well below those of health concern",100 (COP),
Sodium,mg/L,10.5,1.8 - 36.5,,Not of health concern at levels found in drinking-water,,200
Strontium,mg/L,,,,,,
Sulphate,mg/L,7.6,1.4 - 76.9,250 (Sec MCL),Not of health concern at levels found in drinking-water,500 (COP),250
Sulphide,mg/L,,,,,,
Thallium,ug/L,,,2,,,
Tin,ug/L,,,,"Occurs in drinking-water at concentrations well below those of
health concern",,
Total Alkalinity (as CaCO3),mg/L,34,7 to 66,,,,
Total Hardness (as CaCO3),mg/L,43,25 - 203,,Not of health concern at levels found in drinking-water,,
Total Nitrogen (as N),mg/L,,,,,,
Total Phosphorous (as P),mg/L,0.021,< 0.003 - 0.064,,,,
Vanadium,ug/L,,,,,,
Zinc,mg/L,,,5 (Sec MCL),Not of health concern at levels found in drinking-waterb,5 (COP),
"1,2,4-Trimethylbenzene    ",ug/L,,,,,,
"1,3,5-Trimethylbenzene   ",ug/L,,,,,,
Benzene,ug/L,< 1,< 1,5,10,10,1
Ethylbenzene,ug/L,< 1,< 1,700,300,300,
Isopropylbenzene  ,ug/L,,,,,,
n-Butylbenzene   ,ug/L,,,,,,
n-Propylbenzene   ,ug/L,,,,,,
Sec-Butylbenzene   ,ug/L,,,,,,
Styrene,ug/L,< 2,< 2,100,20,20,
Tert-Butylbenzene  ,ug/L,,,,,,
Toluene,ug/L,< 5,< 5,1000,700,700,
Xylenes (Total),ug/L,< 15,< 15,10000,500,500,
"1,1,1-Trichloroethane",ug/L,,,200,200 (Health-based),,
"1,1,2-Trichloroethane",ug/L,,,5,,,
"1,1-Dichloroethane",ug/L,,,,"Available data inadequate to permit derivation of health-based
guideline value",,
"1,2,3-Trichloropropane  ",ug/L,,,,,,
"1,2-Dichloroethane",ug/L,< 2,< 2,5,30,30,3
Carbon Tetrachloride,ug/L,< 0.4,< 0.4,5,4,4,
Dichloromethane (Methylene Chloride),ug/L,< 3,< 3,5,20,20,
"1,1-Dichloroethene (1,1-Dichloroethylene)",ug/L,,,7,140 (Health-based),,
"1,2-Dichloroethene (cis & trans)",ug/L,< 5,< 5,"70cis, 100trans",50,50,
Tetrachloroethene (Tetrachlorethylene),ug/L,< 1,< 1,5,100,40,10 (total with trichloroethene)
Trichloroethene (Trichlorethylene),ug/L,< 1,< 1,5,8,20,10 (total with tetrachloroethene)
Vinyl Chloride,ug/L,< 0.1,< 0.1,2,0.3,0.3,0.5
"1,2,4-Trichlorobenzene",ug/L,,,70,,,
"1,2-Dichlorobenzene (o-Dichlorobenzene)",ug/L,< 1,< 1,600,1000,1000,
"1,3-Dichlorobenzene",ug/L,,,,"Available data inadequate to permit derivation of health-based
guideline value",,
"1,4-Dichlorobenzene (p-Dichlorobenzene)",ug/L,< 1,< 1,75,300,300,
Chlorobenzene (Monochlorobenzene),ug/L,,,100,300 (Health-based),,
Trichlorobenzenes (total),ug/L,,,,20 (Health-based),,
"2,4,6-Trinitrotoluene (TNT)",ug/L,,,,,,
"2-Amino-4,6-dinitrotoluene (2A-DNT) ",ug/L,,,,,,
Cyclotetramethylenetetranitramine (HMX),ug/L,,,,,,
Cyclotrimethylenetrinitramine (RDX)  ,ug/L,,,,,,
Dialkyltins,ng/L,,,,,,
